run_dir,model,dataset,config,Q,H,use_acceleration,test_mae,test_rmse,test_mape,num_params,epochs_trained,train_time_minutes,train_time_hours,best_val_mae,timestamp,metric_source
agcrn_metr-la_Acc_NoSG_LSTM_Q12,AGCRN,metr-la,Acc_NoSG,12,12,True,4.437472820281982,12.034505844116213,11.91534474492073,1812359,15,34.984165116151175,0.5830694186025196,3.810476541519165,2025-11-01T06:51:31.170251,test_results
agcrn_metr-la_Acc_NoSG_LSTM_Q3,AGCRN,metr-la,Acc_NoSG,3,12,True,1.961507797241211,6.343481063842773,4.729217663407326,1812359,28,32.66872971455256,0.544478828575876,1.8452906608581543,2025-11-01T02:25:32.577740,test_results
agcrn_metr-la_Acc_NoSG_LSTM_Q6,AGCRN,metr-la,Acc_NoSG,6,12,True,3.075994968414306,9.018202781677246,7.974899560213089,1812359,34,47.53634790579478,0.7922724650965797,2.753655910491944,2025-11-01T04:32:15.081092,test_results
agcrn_metr-la_Acc_SG_LSTM_Q12,AGCRN,metr-la,Acc_SG,12,12,True,4.271081447601318,11.38571071624756,11.131788790225984,1812359,21,44.25520653327306,0.737586775554551,3.679042339324951,2025-11-06T11:51:33.651871,test_results
agcrn_metr-la_Acc_SG_LSTM_Q3,AGCRN,metr-la,Acc_SG,3,12,True,1.9650843143463133,6.045386791229248,4.698645696043968,1812359,50,47.516747212409975,0.7919457868734996,1.8431779146194456,2025-11-06T07:33:49.529720,test_results
agcrn_metr-la_Acc_SG_LSTM_Q6,AGCRN,metr-la,Acc_SG,6,12,True,3.019603729248047,8.606574058532715,7.545170187950134,1812359,31,40.80002289613088,0.6800003816021812,2.6849615573883057,2025-11-06T11:07:13.517020,test_results
agcrn_metr-la_NoAcc_LSTM_Q12,AGCRN,metr-la,NoAcc,12,12,False,5.0503644943237305,13.094475746154783,14.007122814655304,1808135,37,60.87192618449529,1.0145321030749217,4.257994174957275,2025-11-01T05:33:12.456882,test_results
agcrn_metr-la_NoAcc_LSTM_Q3,AGCRN,metr-la,NoAcc,3,12,False,3.1829283237457275,8.5652437210083,7.679470628499985,1808135,22,28.402948081493378,0.4733824680248896,2.9409420490264893,2025-11-01T01:03:49.291866,test_results
agcrn_metr-la_NoAcc_LSTM_Q6,AGCRN,metr-la,NoAcc,6,12,False,3.900501489639282,10.40387725830078,10.251552611589432,1808135,24,36.90883710781733,0.6151472851302889,3.459336996078491,2025-11-01T03:02:31.482738,test_results
agcrn_pems-bay_Acc_NoSG_LSTM_Q12,AGCRN,pems-bay,Acc_NoSG,12,12,True,1.793888807296753,4.271613597869873,3.76417376101017,1913603,31,79.28701761960983,1.3214502936601638,1.7611289024353027,2025-11-07T17:55:32.227271,test_results
agcrn_pems-bay_Acc_NoSG_LSTM_Q3,AGCRN,pems-bay,Acc_NoSG,3,12,True,0.9036220908164978,2.2524678707122803,1.7318028956651688,1913603,4,20.84318557182948,0.3473864261971579,0.9191085696220398,2025-11-07T15:50:55.057172,test_results
agcrn_pems-bay_Acc_NoSG_LSTM_Q6,AGCRN,pems-bay,Acc_NoSG,6,12,True,1.3526519536972046,3.221014976501465,2.724773809313774,1913603,20,45.15740160147349,0.7526233600245581,1.3532657623291016,2025-11-07T16:36:09.321171,test_results
agcrn_pems-bay_Acc_SG_LSTM_Q12,AGCRN,pems-bay,Acc_SG,12,12,True,1.635136961936951,3.813539981842041,3.343827649950981,1913603,16,282.610404976209,4.71017341627015,1.594316005706787,2025-11-16T14:01:47.622217,test_results
agcrn_pems-bay_Acc_SG_LSTM_Q3,AGCRN,pems-bay,Acc_SG,3,12,True,0.8738539218902588,2.021799087524414,1.6493458300828934,1913603,8,29.44266668955485,0.4907111114925808,0.8894262909889221,2025-11-06T21:22:51.341252,test_results
agcrn_pems-bay_Acc_SG_LSTM_Q6,AGCRN,pems-bay,Acc_SG,6,12,True,1.2506743669509888,2.88559889793396,2.459762617945671,1913603,14,113.40459499756496,1.8900765832927493,1.2477129697799685,2025-11-16T09:19:03.178645,test_results
agcrn_pems-bay_NoAcc_LSTM_Q12,AGCRN,pems-bay,NoAcc,12,12,False,1.7773879766464231,4.035325527191162,3.6222293972969055,1909379,15,153.55011564095815,2.5591685940159694,1.7262879610061646,2025-11-16T07:25:30.963728,test_results
agcrn_pems-bay_NoAcc_LSTM_Q3,AGCRN,pems-bay,NoAcc,3,12,False,1.2471158504486084,2.641096353530884,2.403254434466362,1909379,23,122.0861544251442,2.03476924041907,1.2476096153259275,2025-11-16T02:56:03.838876,test_results
agcrn_pems-bay_NoAcc_LSTM_Q6,AGCRN,pems-bay,NoAcc,6,12,False,1.4946638345718384,3.3424410820007324,2.966744638979435,1909379,15,115.63942152659098,1.9273236921098496,1.477966547012329,2025-11-16T04:51:50.028790,test_results
