dataset,model,config,horizon_Q,horizon_min,MAE_mph,RMSE_mph,MAPE_pct
PEMS-BAY,GWNET,Acc_NoSG,6,30,1.35,3.18,2.73
PEMS-BAY,GWNET,Acc_NoSG,12,60,1.83,4.22,3.87
PEMS-BAY,GWNET,Acc_SG,3,15,0.93,2.01,1.74
PEMS-BAY,GWNET,Acc_SG,6,30,1.31,2.92,2.56
PEMS-BAY,GWNET,Acc_SG,12,60,1.69,3.81,3.46
PEMS-BAY,STAEformer,NoAcc,3,15,1.18,2.53,2.36
PEMS-BAY,STAEformer,NoAcc,6,30,1.82,4.05,3.82
PEMS-BAY,STAEformer,NoAcc,12,60,2.28,5.19,5.07
PEMS-BAY,STAEformer,Acc_NoSG,3,15,0.75,1.77,1.47
PEMS-BAY,STAEformer,Acc_NoSG,6,30,1.44,3.44,2.99
PEMS-BAY,STAEformer,Acc_NoSG,12,60,2.02,4.79,4.49
PEMS-BAY,STAEformer,Acc_SG,3,15,0.8,1.81,1.58
PEMS-BAY,STAEformer,Acc_SG,6,30,1.49,3.47,3.1
PEMS-BAY,STAEformer,Acc_SG,12,60,2.05,4.77,4.51
